case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
fixed_baseline,fixed,-1,0,8192,flash_output_all,flash_bf16_api,0.000466902268269509,1.3306619980185386e-05,2.2649079203977276e-05,0.004309551106983765,0.005255554149775303
fixed_baseline,fixed,-1,0,8192,flash_final_state,flash_bf16_api,0.003208278721309521,0.0001064252515629018,0.00020474634255688242,0.04528884437352605,0.0045209001331146465
fixed_baseline,fixed,-1,0,8192,flash_output_all,flash_fp32_api,0.000466902268269509,1.3306619980185386e-05,2.2649079203977276e-05,0.004309551106983765,0.005255554149775303
fixed_baseline,fixed,-1,0,8192,flash_final_state,flash_fp32_api,0.003208278721309521,0.0001064252515629018,0.00020474634255688242,0.04528884437352605,0.0045209001331146465
fixed_baseline,fixed,-1,0,8192,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,0.004308955672310227,0.0
fixed_baseline,fixed,-1,0,8192,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,0.04523681656329827,0.0
fixed_positive,fixed,-1,0,2048,flash_output_all,flash_bf16_api,0.0006617470122771349,5.508480966117846e-05,8.415423155913564e-05,0.022151894845229465,0.003798963120180156
fixed_positive,fixed,-1,0,2048,flash_final_state,flash_bf16_api,0.0005280550190657762,4.993187346417061e-05,7.968422695390642e-05,0.015547243801101422,0.005125296031458728
fixed_positive,fixed,-1,0,2048,flash_output_all,flash_fp32_api,0.0006617470122771349,5.508480966117846e-05,8.415423155913564e-05,0.022151894845229465,0.003798963120180156
fixed_positive,fixed,-1,0,2048,flash_final_state,flash_fp32_api,0.0005280550190657762,4.993187346417061e-05,7.968422695390642e-05,0.015547243801101422,0.005125296031458728
fixed_positive,fixed,-1,0,2048,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,0.022145277942857023,0.0
fixed_positive,fixed,-1,0,2048,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,0.015588011913487718,0.0
fixed_long_memory,fixed,-1,0,8192,flash_output_all,flash_bf16_api,0.0035688208658301024,0.0004604156575031921,0.0005814226867863902,0.07361755822328098,0.007897880625474479
fixed_long_memory,fixed,-1,0,8192,flash_final_state,flash_bf16_api,0.02930325212216589,0.004712223581599677,0.00594818741805573,0.8342591621917924,0.007129903617034857
fixed_long_memory,fixed,-1,0,8192,flash_output_all,flash_fp32_api,0.0035688208658301024,0.0004604156575031921,0.0005814226867863902,0.07361755822328098,0.007897880625474479
fixed_long_memory,fixed,-1,0,8192,flash_final_state,flash_fp32_api,0.02930325212216589,0.004712223581599677,0.00594818741805573,0.8342591621917924,0.007129903617034857
fixed_long_memory,fixed,-1,0,8192,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,0.07353490515767867,0.0
fixed_long_memory,fixed,-1,0,8192,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,0.8336970866751405,0.0
fixed_strong_decay,fixed,-1,0,2048,flash_output_all,flash_bf16_api,0.0005163877052367372,1.9367476921385e-05,3.145964246560471e-05,0.007473137345430142,0.004209696812924551
fixed_strong_decay,fixed,-1,0,2048,flash_final_state,flash_bf16_api,0.0028166243209194475,0.00013480784678485195,0.0002616693869187153,0.07384159692441251,0.0035436582877070156
fixed_strong_decay,fixed,-1,0,2048,flash_output_all,flash_fp32_api,0.0005163877052367372,1.9367476921385e-05,3.145964246560471e-05,0.007473137345430142,0.004209696812924551
fixed_strong_decay,fixed,-1,0,2048,flash_final_state,flash_fp32_api,0.0028166243209194475,0.00013480784678485195,0.0002616693869187153,0.07384159692441251,0.0035436582877070156
fixed_strong_decay,fixed,-1,0,2048,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,0.007475289805741964,0.0
fixed_strong_decay,fixed,-1,0,2048,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,0.07371700557475792,0.0
fixed_low_update,fixed,-1,0,2048,flash_output_all,flash_bf16_api,3.0463437513414057e-05,1.649859047582412e-08,2.511132181235579e-07,7.948456593995072e-05,0.0031592701696738184
fixed_low_update,fixed,-1,0,2048,flash_final_state,flash_bf16_api,1.7518943983409565e-06,9.190205200109293e-08,1.672437118786451e-07,2.878338085286504e-05,0.0058104262572059185
fixed_low_update,fixed,-1,0,2048,flash_output_all,flash_fp32_api,3.0463437513414057e-05,1.649859047582412e-08,2.511132181235579e-07,7.948456593995072e-05,0.0031592701696738184
fixed_low_update,fixed,-1,0,2048,flash_final_state,flash_fp32_api,1.7518943983409565e-06,9.190205200109293e-08,1.672437118786451e-07,2.878338085286504e-05,0.0058104262572059185
fixed_low_update,fixed,-1,0,2048,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,7.943099505689952e-05,0.0
fixed_low_update,fixed,-1,0,2048,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,2.8664133594433918e-05,0.0
fixed_large_value,fixed,-1,0,2048,flash_output_all,flash_bf16_api,0.025398337279021632,0.003558912505030801,0.004521364627164683,0.5783586789075483,0.007817578938566307
fixed_large_value,fixed,-1,0,2048,flash_final_state,flash_bf16_api,0.2577534954971519,0.038069568843104556,0.04799185555033555,6.707094053963457,0.007155387290562218
fixed_large_value,fixed,-1,0,2048,flash_output_all,flash_fp32_api,0.025398337279021632,0.003558912505030801,0.004521364627164683,0.5783586789075483,0.007817578938566307
fixed_large_value,fixed,-1,0,2048,flash_final_state,flash_fp32_api,0.2577534954971519,0.038069568843104556,0.04799185555033555,6.707094053963457,0.007155387290562218
fixed_large_value,fixed,-1,0,2048,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,0.5777394325990439,0.0
fixed_large_value,fixed,-1,0,2048,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,6.703028849166623,0.0
varlen_mixed,varlen,-1,0,1362,flash_output_all,flash_bf16_api,0.00032374043292793253,1.368078454658549e-05,2.2863166088963788e-05,0.004323164629313729,0.005288525432026666
varlen_mixed,varlen,-1,0,1362,flash_final_state,flash_bf16_api,0.0029455766233073,9.853862267163724e-05,0.00020386078095261566,0.050313776592028195,0.004051788491363531
varlen_mixed,varlen,-1,0,1362,flash_output_all,flash_fp32_api,0.00032374043292793253,1.368078454658549e-05,2.2863166088963788e-05,0.004323164629313729,0.005288525432026666
varlen_mixed,varlen,-1,0,1362,flash_final_state,flash_fp32_api,0.0029455766233073,9.853862267163724e-05,0.00020386078095261566,0.050313776592028195,0.004051788491363531
varlen_mixed,varlen,-1,0,1362,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,0.004322560162143357,0.0
varlen_mixed,varlen,-1,0,1362,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,0.05037023744028112,0.0
varlen_stress,varlen,-1,0,2718,flash_output_all,flash_bf16_api,0.0009366544931453114,0.00011347881268740693,0.0001555131937004189,0.04232826008248298,0.0036739803005693614
varlen_stress,varlen,-1,0,2718,flash_final_state,flash_bf16_api,0.0016649157068445442,0.00012421201100894049,0.00019076450978833183,0.05651664623934922,0.0033753685415167773
varlen_stress,varlen,-1,0,2718,flash_output_all,flash_fp32_api,0.0009366544931453114,0.00011347881268740693,0.0001555131937004189,0.04232826008248298,0.0036739803005693614
varlen_stress,varlen,-1,0,2718,flash_final_state,flash_fp32_api,0.0016649157068445442,0.00012421201100894049,0.00019076450978833183,0.05651664623934922,0.0033753685415167773
varlen_stress,varlen,-1,0,2718,api_parity_output,fp32_vs_bf16_api,0.0,0.0,0.0,0.042344161836039236,0.0
varlen_stress,varlen,-1,0,2718,api_parity_state,fp32_vs_bf16_api,0.0,0.0,0.0,0.05655213639955626,0.0
