case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
fixed_baseline,fixed,0,0,256,output_window,bf16_state,1.030715014559494e-05,7.01417044863188e-08,3.82478862967991e-07,0.004205613460079867,9.094484469353195e-05
fixed_baseline,fixed,0,0,256,output_window,fp32_state,6.880881281423612e-09,3.182445067293052e-10,5.46049621526328e-10,0.004205613460079867,1.2983828083809636e-07
fixed_baseline,fixed,0,256,512,output_window,bf16_state,1.1874598418705473e-05,7.175788005849174e-08,3.9526708751083476e-07,0.0044163563519827725,8.950072322252147e-05
fixed_baseline,fixed,0,256,512,output_window,fp32_state,1.0362225272286807e-08,3.1862411125808783e-10,5.518336219130712e-10,0.0044163563519827725,1.2495224070071234e-07
fixed_baseline,fixed,0,512,768,output_window,bf16_state,1.008658182242994e-05,7.416766398761882e-08,3.831482629473568e-07,0.004182840538505594,9.160001664425019e-05
fixed_baseline,fixed,0,512,768,output_window,fp32_state,8.504493463623586e-09,3.2341385574406564e-10,5.49882932342604e-10,0.004182840538505594,1.3146160540441282e-07
fixed_baseline,fixed,0,768,1024,output_window,bf16_state,1.1207429158078923e-05,5.6725092650383796e-08,3.061190898998988e-07,0.004592138736994868,6.666155084422069e-05
fixed_baseline,fixed,0,768,1024,output_window,fp32_state,7.0532078094709405e-09,3.2122293197465773e-10,5.673828063877069e-10,0.004592138736994868,1.2355524057163106e-07
fixed_baseline,fixed,0,1024,1280,output_window,bf16_state,1.1359479484435511e-05,6.511107180946404e-08,3.6130914605134234e-07,0.004076568814806184,8.863069960675259e-05
fixed_baseline,fixed,0,1024,1280,output_window,fp32_state,7.76605899033278e-09,3.078389975734181e-10,5.250091682591936e-10,0.004076568814806184,1.2878702460568045e-07
fixed_baseline,fixed,0,1280,1536,output_window,bf16_state,8.049297520049603e-06,5.457764572377748e-08,3.049862977891543e-07,0.004446018188883557,6.859762709736904e-05
fixed_baseline,fixed,0,1280,1536,output_window,fp32_state,9.574288376001938e-09,3.1002500457986266e-10,5.426492714062797e-10,0.004446018188883557,1.2205286806137533e-07
fixed_baseline,fixed,0,1536,1792,output_window,bf16_state,7.706500954182986e-06,6.85251078246689e-08,3.422544833423429e-07,0.004145343610854844,8.256359797198184e-05
fixed_baseline,fixed,0,1536,1792,output_window,fp32_state,8.906208326386889e-09,3.2131688935629227e-10,5.645078652434641e-10,0.004145343610854844,1.3617878714933658e-07
fixed_baseline,fixed,0,1792,2048,output_window,bf16_state,8.148728236431584e-06,5.693915612358429e-08,3.0478621472910293e-07,0.004520401011379949,6.742459661472831e-05
fixed_baseline,fixed,0,1792,2048,output_window,fp32_state,8.55096612961681e-09,3.2827363120945384e-10,5.739236337084106e-10,0.004520401011379949,1.2696299117347734e-07
fixed_baseline,fixed,0,2048,2304,output_window,bf16_state,1.2204399510072628e-05,5.149198607558311e-08,2.8216427699934396e-07,0.004301063418397257,6.560337515425181e-05
fixed_baseline,fixed,0,2048,2304,output_window,fp32_state,7.655087730373822e-09,3.190875634247521e-10,5.471493022076303e-10,0.004301063418397257,1.2721256326220815e-07
fixed_baseline,fixed,0,2304,2560,output_window,bf16_state,1.4145536880550563e-05,5.443272342611821e-08,3.439784743921238e-07,0.004453673814163602,7.723477038174669e-05
