case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
fixed_baseline,fixed,0,0,16,state_checkpoint,bf16_state,0.0011396727224700642,5.9409904031013975e-05,0.00010369093677057553,0.06287190557968432,0.0016492411962789463
fixed_baseline,fixed,0,0,16,state_checkpoint,fp32_state,5.3140419620234525e-08,1.7918440103503058e-09,3.218877237146651e-09,0.06287190557968432,5.119738629628494e-08
fixed_baseline,fixed,0,0,64,state_checkpoint,bf16_state,0.000498817652725192,3.354796671476536e-05,5.919233718419752e-05,0.03628869532277336,0.0016311508765389736
fixed_baseline,fixed,0,0,64,state_checkpoint,fp32_state,3.3476521305031426e-08,1.0607297270371259e-09,1.9508106440031718e-09,0.03628869532277336,5.375808159129159e-08
fixed_baseline,fixed,0,0,256,state_checkpoint,bf16_state,0.0009604072229244531,4.64328887307041e-05,7.97374168785217e-05,0.04793039767521337,0.0016636084978647475
fixed_baseline,fixed,0,0,256,state_checkpoint,fp32_state,3.653152186311459e-08,1.384684217651934e-09,2.432557422564534e-09,0.04793039767521337,5.075187230967837e-08
fixed_baseline,fixed,0,0,1024,state_checkpoint,bf16_state,0.0009612353652049266,4.125606182575826e-05,7.809646770189111e-05,0.046917642024454254,0.001664543747982602
fixed_baseline,fixed,0,0,1024,state_checkpoint,fp32_state,4.04282066157613e-08,1.2138899675809168e-09,2.3831741926571473e-09,0.046917642024454254,5.0794841552672175e-08
fixed_baseline,fixed,0,0,4096,state_checkpoint,bf16_state,0.0002435960483609667,2.083617535643377e-05,3.7051842827249976e-05,0.022430430362115186,0.001651856082522172
fixed_baseline,fixed,0,0,4096,state_checkpoint,fp32_state,1.056502467455811e-08,6.345811001661616e-10,1.1860252265164816e-09,0.022430430362115186,5.2875723174695236e-08
fixed_baseline,fixed,0,0,8192,final_state,bf16_state,0.0009379815923818424,4.2270574159129204e-05,7.644123681914258e-05,0.04528884437352605,0.001687860175646851
fixed_baseline,fixed,0,0,8192,final_state,fp32_state,4.1615571766406845e-08,1.2198941141710594e-09,2.2765688013969453e-09,0.04528884437352605,5.026776092188679e-08
fixed_positive,fixed,0,0,16,state_checkpoint,bf16_state,0.0002438420961812654,2.6589936362501847e-05,4.032692926995127e-05,0.024240281473178506,0.001663632879617029
fixed_positive,fixed,0,0,16,state_checkpoint,fp32_state,1.055495235657844e-08,7.274569780641882e-10,1.1524094376599467e-09,0.024240281473178506,4.754109142400305e-08
fixed_positive,fixed,0,0,64,state_checkpoint,bf16_state,0.00024408745144388622,4.319845371531951e-05,6.56082373490023e-05,0.03933827796716342,0.0016677963738973788
fixed_positive,fixed,0,0,64,state_checkpoint,fp32_state,1.1902570387634093e-08,1.2091795061442542e-09,1.930411620917627e-09,0.03933827796716342,4.90720926454632e-08
fixed_positive,fixed,0,0,256,state_checkpoint,bf16_state,0.000239825011534342,2.603722569675446e-05,3.884140099911367e-05,0.02417004058055068,0.0016070060316890342
fixed_positive,fixed,0,0,256,state_checkpoint,fp32_state,1.1053995649379367e-08,7.218798261811249e-10,1.1414789070737433e-09,0.02417004058055068,4.7227016573247985e-08
fixed_positive,fixed,0,0,1024,state_checkpoint,bf16_state,0.00024392097881800745,3.96325279076835e-05,5.918281203140127e-05,0.035159109412889564,0.0016832852998746452
fixed_positive,fixed,0,0,1024,state_checkpoint,fp32_state,1.0481661510963747e-08,1.132701570050436e-09,1.741103054440675e-09,0.035159109412889564,4.9520681368634865e-08
fixed_positive,fixed,0,0,2048,final_state,bf16_state,0.0001217977120917188,1.770113896470074e-05,2.591475266083314e-05,0.015547243801101422,0.0016668390225537755
fixed_positive,fixed,0,0,2048,final_state,fp32_state,5.761621985067578e-09,4.998465889958222e-10,7.660286284333681e-10,0.015547243801101422,4.927102438434135e-08
fixed_long_memory,fixed,0,0,16,state_checkpoint,bf16_state,0.0038961895183378115,0.00046230884128337926,0.0006891896173069933,0.40973658161266,0.001682030963880377
fixed_long_memory,fixed,0,0,16,state_checkpoint,fp32_state,6.836738541959875e-07,8.553492064487565e-08,1.148850034499589e-07,0.40973658161266,2.803874699149127e-07
fixed_long_memory,fixed,0,0,64,state_checkpoint,bf16_state,0.009333971828443755,0.0011818515662704657,0.0016105745332804244,0.6201393168260997,0.002597117276039545
fixed_long_memory,fixed,0,0,64,state_checkpoint,fp32_state,2.203410369938652e-06,3.996002707078689e-07,5.081355026416647e-07,0.6201393168260997,8.193892708534021e-07
fixed_long_memory,fixed,0,0,256,state_checkpoint,bf16_state,0.020879517034269712,0.002351788124251731,0.0030708917381182073,0.8099235081400943,0.00379158242383925
fixed_long_memory,fixed,0,0,256,state_checkpoint,fp32_state,7.289674987642769e-06,1.3819159217344969e-06,1.7444876266963572e-06,0.8099235081400943,2.15389182949189e-06
fixed_long_memory,fixed,0,0,1024,state_checkpoint,bf16_state,0.02253171040732127,0.0026797574128092387,0.003482115779503548,0.844729124093692,0.004122168491869512
fixed_long_memory,fixed,0,0,1024,state_checkpoint,fp32_state,9.49680261008723e-06,1.8380366298760108e-06,2.3030426014966206e-06,0.844729124093692,2.72636817626899e-06
fixed_long_memory,fixed,0,0,4096,state_checkpoint,bf16_state,0.027513168739356608,0.0026315006624781723,0.003411094081113183,0.8268772017238124,0.004125272862768482
fixed_long_memory,fixed,0,0,4096,state_checkpoint,fp32_state,9.305333071640831e-06,1.8364035533944967e-06,2.303209359959799e-06,0.8268772017238124,2.7854309626123908e-06
fixed_long_memory,fixed,0,0,8192,final_state,bf16_state,0.019972074775866044,0.00263311461650255,0.0034141140904796114,0.8342591621917924,0.004092390284944479
fixed_long_memory,fixed,0,0,8192,final_state,fp32_state,9.790361258144031e-06,1.8200287467904827e-06,2.2905489673311693e-06,0.8342591621917924,2.7456084046033916e-06
fixed_strong_decay,fixed,0,0,16,state_checkpoint,bf16_state,0.0016149407347761935,8.045727889897152e-05,0.00014726996428496194,0.09151877143514502,0.0016091776798962509
fixed_strong_decay,fixed,0,0,16,state_checkpoint,fp32_state,6.792174878089696e-08,2.3776823972545143e-09,4.7285025883769485e-09,0.09151877143514502,5.1667024307989236e-08
fixed_strong_decay,fixed,0,0,64,state_checkpoint,bf16_state,0.000976432646294656,7.340181904657e-05,0.00013992034980449248,0.0855869376719098,0.0016348329968396014
fixed_strong_decay,fixed,0,0,64,state_checkpoint,fp32_state,5.739640884794284e-08,2.1079155053596933e-09,4.309021718979635e-09,0.0855869376719098,5.034672154643389e-08
fixed_strong_decay,fixed,0,0,256,state_checkpoint,bf16_state,0.0019234601448802069,7.658793453635433e-05,0.00014317888214569917,0.08685903519937066,0.0016484051638042667
fixed_strong_decay,fixed,0,0,256,state_checkpoint,fp32_state,6.206162983524166e-08,2.260703537087801e-09,4.484104708340451e-09,0.08685903519937066,5.1625080776547014e-08
fixed_strong_decay,fixed,0,0,1024,state_checkpoint,bf16_state,0.001945371101919835,7.937726020084456e-05,0.00014941876963782714,0.08837823781713515,0.0016906737826906206
fixed_strong_decay,fixed,0,0,1024,state_checkpoint,fp32_state,7.056799100624289e-08,2.308247010325536e-09,4.608130384741972e-09,0.08837823781713515,5.214100777022427e-08
fixed_strong_decay,fixed,0,0,2048,final_state,bf16_state,0.0009702773262200703,6.769154543591762e-05,0.00012258350999761876,0.07384159692441251,0.0016600874724188401
fixed_strong_decay,fixed,0,0,2048,final_state,fp32_state,3.887760269272178e-08,1.968684981001188e-09,3.7854455863241065e-09,0.07384159692441251,5.126440575491689e-08
fixed_low_update,fixed,0,0,16,state_checkpoint,bf16_state,4.75486350183811e-07,2.653354355864912e-08,4.765443432696761e-08,2.8905879310374756e-05,0.0016486069776768118
fixed_low_update,fixed,0,0,16,state_checkpoint,fp32_state,2.2900362080810824e-11,8.603952447807851e-13,1.5922082910734465e-12,2.8905879310374756e-05,5.508250671004424e-08
fixed_low_update,fixed,0,0,64,state_checkpoint,bf16_state,8.767544076398429e-07,2.77331714007864e-08,5.18473351363446e-08,3.130718460913395e-05,0.0016560842433981755
fixed_low_update,fixed,0,0,64,state_checkpoint,fp32_state,1.8652591922191028e-11,8.495801589185935e-13,1.576524483836123e-12,3.130718460913395e-05,5.0356635498171494e-08
fixed_low_update,fixed,0,0,256,state_checkpoint,bf16_state,4.740939141872002e-07,3.0116511938134825e-08,5.378706765966958e-08,3.238698211133995e-05,0.0016607619528970134
fixed_low_update,fixed,0,0,256,state_checkpoint,fp32_state,2.2732777384690608e-11,8.847969371041972e-13,1.6189885277467367e-12,3.238698211133995e-05,4.9988866581670954e-08
fixed_low_update,fixed,0,0,1024,state_checkpoint,bf16_state,4.7397347389792083e-07,2.763682701703048e-08,4.882203071512267e-08,2.9684265639786917e-05,0.0016447107470189425
fixed_low_update,fixed,0,0,1024,state_checkpoint,fp32_state,1.9944488687537523e-11,8.568506613815762e-13,1.576487195566314e-12,2.9684265639786917e-05,5.310851259373215e-08
fixed_low_update,fixed,0,0,2048,final_state,bf16_state,6.641931292111834e-07,2.6124746144411692e-08,4.816352457586431e-08,2.878338085286504e-05,0.0016733101932002617
fixed_low_update,fixed,0,0,2048,final_state,fp32_state,2.1193997728694014e-11,7.719803565747335e-13,1.4526363815954597e-12,2.878338085286504e-05,5.046788593115764e-08
fixed_large_value,fixed,0,0,16,state_checkpoint,bf16_state,0.030875938062420616,0.002969075499886643,0.004428801816655616,2.6909272590997433,0.001645827400825871
fixed_large_value,fixed,0,0,16,state_checkpoint,fp32_state,4.630376459147101e-06,4.337281536703403e-07,5.949337621651439e-07,2.6909272590997433,2.2108875672996843e-07
fixed_large_value,fixed,0,0,64,state_checkpoint,bf16_state,0.08961941265625128,0.008904452908175334,0.01215361051826966,4.82932589245906,0.002516626707103654
fixed_large_value,fixed,0,0,64,state_checkpoint,fp32_state,1.6001515154684398e-05,2.806602622375012e-06,3.6024607619423077e-06,4.82932589245906,7.459551999933388e-07
fixed_large_value,fixed,0,0,256,state_checkpoint,bf16_state,0.14595056885867308,0.018629128461826443,0.024295169421387017,6.508682851515293,0.0037327321019691158
fixed_large_value,fixed,0,0,256,state_checkpoint,fp32_state,6.0985498858912024e-05,1.0940563749367184e-05,1.3729541694537601e-05,6.508682851515293,2.1094193722069607e-06
fixed_large_value,fixed,0,0,1024,state_checkpoint,bf16_state,0.197104575325735,0.02089459330666628,0.02719199248813804,6.67606698075991,0.004073055672824134
fixed_large_value,fixed,0,0,1024,state_checkpoint,fp32_state,7.207926424968036e-05,1.459875222985006e-05,1.8360707367210275e-05,6.67606698075991,2.7502281538104563e-06
fixed_large_value,fixed,0,0,2048,final_state,bf16_state,0.158108355113189,0.020988435406145277,0.027321421458292843,6.707094053963457,0.004073511007669209
fixed_large_value,fixed,0,0,2048,final_state,fp32_state,8.127006342206755e-05,1.4765383412541813e-05,1.856942404969896e-05,6.707094053963457,2.7686243700020335e-06
varlen_mixed,varlen,0,0,16,state_checkpoint,bf16_state,0.0009762930699010464,5.036484879638457e-05,9.177807931104571e-05,0.05637141182236236,0.0016280961633577118
varlen_mixed,varlen,0,0,16,state_checkpoint,fp32_state,5.2213925572086595e-08,1.7056552673309031e-09,3.3037608747710683e-09,0.05637141182236236,5.860702735602724e-08
varlen_mixed,varlen,0,0,17,final_state,bf16_state,0.0009897482155519777,6.656552489508655e-05,0.00011345127745143118,0.06692824508141976,0.0016951180673184406
varlen_mixed,varlen,0,0,17,final_state,fp32_state,4.4849696068105516e-08,2.0470290634893705e-09,3.6669679520774934e-09,0.06692824508141976,5.4789542854687765e-08
varlen_mixed,varlen,1,0,16,state_checkpoint,bf16_state,0.00048191555147095166,2.773801330094874e-05,5.132910746763346e-05,0.030702517940678287,0.0016718207792210636
varlen_mixed,varlen,1,0,16,state_checkpoint,fp32_state,2.451472413955713e-08,8.752655610834512e-10,1.6418286721190289e-09,0.030702517940678287,5.3475375384236556e-08
varlen_mixed,varlen,1,0,64,state_checkpoint,bf16_state,0.0004831150338991397,3.314067666514325e-05,5.699405871384047e-05,0.034274799198937375,0.001662856093861739
varlen_mixed,varlen,1,0,64,state_checkpoint,fp32_state,2.5030640837808704e-08,1.0311548145077394e-09,1.8160510586545991e-09,0.034274799198937375,5.298502401469656e-08
varlen_mixed,varlen,1,0,65,final_state,bf16_state,0.00030469271175082024,1.1874403110943646e-05,2.0355494256913176e-05,0.010976976653529664,0.001854380755229887
varlen_mixed,varlen,1,0,65,final_state,fp32_state,8.856651315114483e-09,3.699603577194658e-10,6.570914193109356e-10,0.010976976653529664,5.986087426902259e-08
varlen_mixed,varlen,2,0,16,state_checkpoint,bf16_state,0.0012842772475443187,6.555537489972542e-05,0.00012078568629913053,0.07335198484583329,0.0016466587312257534
