case,layout,seq_index,start,end,target,candidate,max_abs,mean_abs,rmse,ref_rms,rmse_ratio
fixed_baseline,fixed,0,0,256,output_window,bf16_state,1.030715014559494e-05,7.01417044863188e-08,3.82478862967991e-07,0.004205613460079867,9.094484469353195e-05
fixed_baseline,fixed,0,0,256,output_window,fp32_state,6.880881281423612e-09,3.182445067293052e-10,5.46049621526328e-10,0.004205613460079867,1.2983828083809636e-07
fixed_long_memory,fixed,0,0,256,output_window,bf16_state,0.0009808655817546974,0.0001352272390196279,0.00018497572617559086,0.062245187117354765,0.0029717273694887364
fixed_long_memory,fixed,0,0,256,output_window,fp32_state,5.951591952602087e-07,6.92418836400474e-08,9.901330059726807e-08,0.062245187117354765,1.5906980954301266e-06
varlen_stress,varlen,0,0,17,output_window,bf16_state,2.4275933319550802e-05,2.170529058559639e-07,1.3297739681910241e-06,0.042283074680624616,3.1449320519738995e-05
varlen_stress,varlen,0,0,17,output_window,fp32_state,2.1101409480861477e-08,2.9939965030535355e-09,4.242445875277316e-09,0.042283074680624616,1.0033437509740352e-07
varlen_stress,varlen,1,0,65,output_window,bf16_state,1.3003058822042002e-07,5.598297389262899e-09,1.2680301939070144e-08,0.04181566473744715,3.032428640962047e-07
varlen_stress,varlen,1,0,65,output_window,fp32_state,2.43937509081249e-08,2.8989921808453835e-09,4.053318476964115e-09,0.04181566473744715,9.693301547193269e-08
varlen_stress,varlen,2,0,130,output_window,bf16_state,2.3092434441276954e-05,2.1171384008748939e-07,1.1960389717862012e-06,0.04235723591281453,2.8236945731021082e-05
varlen_stress,varlen,2,0,130,output_window,fp32_state,2.6411620668298497e-08,2.901325748239421e-09,4.077154756428566e-09,0.04235723591281453,9.625639323634631e-08
