device=NVIDIA B300 SXM6 AC cc=10.3 N=6288 K=7168 peak=2250.0_TFLOPS bandwidth=8000.0_GB/s balance=281.25_FLOP/byte
GB/s is effective logical traffic from the assignment 4.5 model.
      M   iters         us         AI      TFLOPS    eff.GB/s     %compute      %memory     %active
      1    5000      19.16       1.00        4.70     4705.33        0.21%       58.82%      58.82%
      8    5000      18.85       7.98       38.26     4793.36        1.70%       59.92%      59.92%
     16    5000      19.67      15.92       73.34     4605.34        3.26%       57.57%      57.57%
     64    5000      18.61      62.80      310.01     4936.49       13.78%       61.71%      61.71%
    256    4587      26.33     237.82      876.50     3685.48       38.96%       46.07%      46.07%
   1024    1767      78.78     784.25     1171.73     1494.07       52.08%       18.68%      52.08%
   4096     459     320.99    1842.70     1150.31      624.25       51.12%        7.80%      51.12%
  16384     128    1160.34    2781.04     1272.85      457.69       56.57%        5.72%      56.57%
  65536      33    4565.98    3186.74     1293.86      406.01       57.50%        5.08%      57.50%
csv=results_b300.csv
