case,heads,kernel,ctas,resident_blocks_per_sm,waves_per_sm,first_wave_sm_coverage_pct
fixed_8192,96,K1,49152,8,41.513513513513516,100.0
fixed_8192,96,K2,96,2,0.32432432432432434,64.86486486486487
fixed_8192,12,K1,6144,8,5.1891891891891895,100.0
fixed_8192,12,K2,12,2,0.04054054054054054,8.108108108108109
mixed_varlen,96,K1,49728,8,42.0,100.0
mixed_varlen,96,K2,576,2,1.945945945945946,100.0
mixed_varlen,12,K1,6216,8,5.25,100.0
mixed_varlen,12,K2,72,2,0.24324324324324326,48.648648648648646
varlen_1024x8,96,K1,49920,8,42.16216216216216,100.0
varlen_1024x8,96,K2,768,2,2.5945945945945947,100.0
varlen_1024x8,12,K1,6240,8,5.27027027027027,100.0
varlen_1024x8,12,K2,96,2,0.32432432432432434,64.86486486486487
